asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,24,2024年真题,大连理工852真题,选择题,01,题1,pb_24-01_question.png,pb_24-01_solution.png,1
002,24,2024年真题,大连理工852真题,选择题,02,题2,pb_24-02_question.png,pb_24-02_solution.png,1
003,24,2024年真题,大连理工852真题,选择题,03,题3,pb_24-03_question.png,pb_24-03_solution.png,1
004,24,2024年真题,大连理工852真题,选择题,04,题4,pb_24-04_question.png,pb_24-04_solution.png,1
005,24,2024年真题,大连理工852真题,选择题,05,题5,pb_24-05_question.png,pb_24-05_solution.png,1
006,24,2024年真题,大连理工852真题,选择题,06,题6,pb_24-06_question.png,pb_24-06_solution.png,1
007,24,2024年真题,大连理工852真题,简答题,07,题7,pb_24-07_question.png,pb_24-07_solution.png,1
008,24,2024年真题,大连理工852真题,简答题,08,题8,pb_24-08_question.png,pb_24-08_solution.png,1
009,24,2024年真题,大连理工852真题,计算题,09,题9,pb_24-09_question.png,pb_24-09_solution.png,1
010,24,2024年真题,大连理工852真题,计算题,10,题10,pb_24-10_question.png,pb_24-10_solution.png,1
011,24,2024年真题,大连理工852真题,计算题,11,题11,pb_24-11_question.png,pb_24-11_solution.png,1
012,24,2024年真题,大连理工852真题,计算题,12,题12,pb_24-12_question.png,pb_24-12_solution.png,1
013,24,2024年真题,大连理工852真题,计算题,13,题13,pb_24-13_question.png,pb_24-13_solution.png,1
014,24,2024年真题,大连理工852真题,计算题,14,题14,pb_24-14_question.png,pb_24-14_solution.png,1
015,24,2024年真题,大连理工852真题,计算题,15,题15,pb_24-15_question.png,pb_24-15_solution.png,2
016,24,2024年真题,大连理工852真题,计算题,16,题16,pb_24-16_question.png,pb_24-16_solution.png,1
017,24,2024年真题,大连理工852真题,计算题,17,题17,pb_24-17_question.png,pb_24-17_solution.png,2
018,24,2024年真题,大连理工852真题,计算题,18,题18,pb_24-18_question.png,pb_24-18_solution.png,3
019,24,2024年真题,大连理工852真题,计算题,19,题19,pb_24-19_question.png,pb_24-19_solution.png,2
